376.3791	DATA	Keypress:t held
377.9670	DATA	Keypress: v
378.0001	DATA	Keypress:v held
378.3892	DATA	Keypress: v
378.7606	DATA	Keypress: v
379.0134	DATA	Keypress:v held
379.1322	DATA	Keypress: v
379.5037	DATA	Keypress: v
379.8753	DATA	Keypress: v
380.0266	DATA	Keypress:v held
380.2638	DATA	Keypress: v
380.6353	DATA	Keypress: v
381.0236	DATA	Keypress: v
381.0567	DATA	Keypress:v held
381.3952	DATA	Keypress: v
381.7836	DATA	Keypress: v
382.0699	DATA	Keypress:v held
383.1007	DATA	Keypress: t
383.1337	DATA	Keypress:t held
383.5228	DATA	Keypress: t
383.9114	DATA	Keypress: t
384.1470	DATA	Keypress:t held
384.2998	DATA	Keypress: t
384.6894	DATA	Keypress: t
385.0932	DATA	Keypress: t
385.1603	DATA	Keypress:t held
385.4481	DATA	Keypress: t
385.8026	DATA	Keypress: t
386.1735	DATA	Keypress:t held
386.2081	DATA	Keypress: t
386.5796	DATA	Keypress: t
386.9678	DATA	Keypress: t
387.1868	DATA	Keypress:t held
389.9906	DATA	Keypress: v
390.0237	DATA	Keypress:v held
390.0238	DATA	earn v
390.3622	DATA	Keypress: v
390.8521	DATA	Keypress: v
391.2572	DATA	Keypress: v
391.6456	DATA	Keypress: v
392.0345	DATA	Keypress: v
392.2023	DATA	Keypress:v held
392.4393	DATA	Keypress: v
392.8276	DATA	Keypress: v
393.2155	DATA	Keypress:v held
393.2331	DATA	Keypress: v
393.5876	DATA	Keypress: v
393.9928	DATA	Keypress: v
394.2288	DATA	Keypress:v held
394.3640	DATA	Keypress: v
394.6676	DATA	start rating L
399.4035	DATA	Keypress: t
403.5274	DATA	Keypress: t
405.5880	DATA	Keypress: return
405.5883	DATA	RatingScale rateL_scale: (key response) rating=2
405.5884	DATA	RatingScale rateL_scale: rating RT=10.921
405.5889	DATA	2.0
405.5889	DATA	end rating L
405.6974	DATA	start rating R
416.8853	DATA	Keypress: return
416.8857	DATA	RatingScale rateR_scale: (key response) rating=4
416.8857	DATA	RatingScale rateR_scale: rating RT=11.188
416.8862	DATA	4.0
416.8872	DATA	end rating R
421.6708	DATA	Keypress: t
421.7039	DATA	Keypress:t held
422.0758	DATA	Keypress: t
422.4645	DATA	Keypress: t
422.7171	DATA	Keypress:t held
422.8697	DATA	Keypress: t
423.2584	DATA	Keypress: t
423.6298	DATA	Keypress: t
423.7303	DATA	Keypress:t held
424.0181	DATA	Keypress: t
424.3897	DATA	Keypress: t
424.7435	DATA	Keypress:t held
424.7779	DATA	Keypress: t
425.1664	DATA	Keypress: t
425.5548	DATA	Keypress: t
425.7567	DATA	Keypress:t held
427.0070	DATA	Keypress: v
427.0401	DATA	Keypress:v held
427.3785	DATA	Keypress: v
427.7501	DATA	Keypress: v
428.0533	DATA	Keypress:v held
428.1217	DATA	Keypress: v
428.5101	DATA	Keypress: v
428.8642	DATA	Keypress: v
429.0666	DATA	Keypress:v held
429.2362	DATA	Keypress: v
429.6074	DATA	Keypress: v
429.9791	DATA	Keypress: v
430.0798	DATA	Keypress:v held
430.3677	DATA	Keypress: v
430.7560	DATA	Keypress: v
431.0930	DATA	Keypress:v held
434.3361	DATA	Keypress: t
434.3692	DATA	Keypress:t held
434.7244	DATA	Keypress: t
435.0971	DATA	Keypress: t
435.3824	DATA	Keypress:t held
435.4675	DATA	Keypress: t
435.8390	DATA	Keypress: t
436.1781	DATA	Keypress: t
436.3956	DATA	Keypress:t held
436.5313	DATA	Keypress: t
437.3756	DATA	Keypress: v
437.4088	DATA	Keypress:v held
437.7137	DATA	Keypress: v
438.0511	DATA	Keypress: v
438.3890	DATA	Keypress: v
438.4221	DATA	Keypress:v held
438.7435	DATA	Keypress: v
439.0812	DATA	Keypress: v
439.4353	DATA	Keypress:v held
439.4528	DATA	Keypress: v
440.4486	DATA	Keypress:v held
441.0403	DATA	Keypress: t
441.4286	DATA	Keypress: t
441.4618	DATA	Keypress:t held
441.4618	DATA	earn t
441.7833	DATA	Keypress: t
442.7289	DATA	Keypress: t
443.1849	DATA	Keypress: t
443.5901	DATA	Keypress: t
443.6570	DATA	Keypress:t held
443.9952	DATA	Keypress: t
444.4008	DATA	Keypress: t
444.6702	DATA	Keypress:t held
444.6703	DATA	earn t
448.3184	DATA	Keypress: v
448.3348	DATA	Keypress:v held
448.6731	DATA	Keypress: v
449.0276	DATA	Keypress: v
449.3480	DATA	Keypress:v held
449.3995	DATA	Keypress: v
449.7708	DATA	Keypress: v
450.1423	DATA	Keypress: v
450.3612	DATA	Keypress:v held
450.5139	DATA	Keypress: v
450.8684	DATA	Keypress: v
451.3744	DATA	Keypress:v held
453.2326	DATA	Keypress: t
453.2489	DATA	Keypress:t held
453.5704	DATA	Keypress: t
453.9249	DATA	Keypress: t
454.2621	DATA	Keypress:t held
454.2622	DATA	earn t
454.2630	DATA	Keypress: t
454.6681	DATA	Keypress: t
455.1410	DATA	Keypress: t
455.5800	DATA	Keypress: t
456.0370	DATA	Keypress: t
456.4912	DATA	Keypress:t held
457.7416	DATA	Keypress: v
457.7746	DATA	Keypress:v held
458.0961	DATA	Keypress: v
458.4675	DATA	Keypress: v
458.7878	DATA	Keypress:v held
458.8391	DATA	Keypress: v
459.2276	DATA	Keypress: v
459.5822	DATA	Keypress: v
459.8011	DATA	Keypress:v held
459.9875	DATA	Keypress: v
460.3421	DATA	Keypress: v
460.8142	DATA	Keypress:v held
463.9557	DATA	Keypress: t
463.9721	DATA	Keypress:t held
464.3106	DATA	Keypress: t
464.6821	DATA	Keypress: t
464.9853	DATA	Keypress:t held
465.0535	DATA	Keypress: t
